SECTION-PRE,
"EMBER-2","Это последняя хакерская битва..."
"EMBER-2","Вы взволнованы?"
"EMBER-2","Ты нервничаешь?"
"Moss","Нет."
,"Может быть, немного."
,"Конечно."
"EMBER-2","Нет причин быть."
"EMBER-2","*Я уверен, что у тебя все получится.*"
"EMBER-2","Это еще один положительный стимул для вас."
"EMBER-2","Я знаю, насколько это помогает."
SECTION-POST,
"EMBER-2","Так ты теперь официально лучший?"
"Moss","Думаю, я мог бы это сказать."
,"Во всяком случае, из этой маленькой группы."
,"Не совсем..."
"EMBER-2","Почему нет?"
,"Не подрывайте себя."
,"Конечно, да."
"EMBER-2","Разве ты не всех победил?"
,"Это большое достижение."
,"Имейте немного гордости."
"EMBER-2","Ты один из лучших в своем деле!"
"EMBER-2","Иди и прими комплимент."
"EMBER-2","Мне все еще нужно, чтобы твоя префронтальная кора была освещена."
"EMBER-2","*И наполнен дофамином.*"
SECTION-CHAT,
"selenium_wolf","ой, меня тоже достало!"
"selenium_wolf","вот это хороший экзамен по программированию."
"deadlock","хорошо, что ты вернулся, Мосс"
"deadlock","хотя ты ничего не говоришь"
"deadlock","все в порядке, я понимаю"
"deadlock","зачем что-то говорить, если можно заявить о своем присутствии другими способами"
"deadlock","верно?"
"hydroponix","самые лучшие те, кого никто не знает..."
"x10x10x","это настоящий дзен {дерьмо}"
"nivas_d","мох, да?"
"selenium_wolf","хм?"
"nivas_d","ах, неважно"
