SECTION-PRE,
"EMBER-2","Да. Вы можете это сделать!"
"EMBER-2","Это позитивное поощрение."
"EMBER-2","Он предназначен для повышения активности префронтальной коры головного мозга."
"Moss","Я уверен, что это так."
,"Хм?"
,"Не рассчитывайте на это."
"EMBER-2","Было бы лучше, если бы я мог увидеть эффект напрямую..."
,"Не беспокойтесь об этом."
,"Но у тебя отлично получается!"
"EMBER-2","Но я пока прикину."
,"Оставь мозговые вопросы мне."
,"Вот еще немного для тебя."
"EMBER-2","Я уверен, что это поможет."
,
SECTION-POST,
"EMBER-2","Хорошая работа."
"EMBER-2","Я знал, что ты сможешь это сделать."
"Moss","Спасибо."
,"Конечно..."
,"Прекрати это."
"EMBER-2","Нет, спасибо _вам_."
,"_Отличная работа!_"
,"Но ты потрясающий!"
"EMBER-2","Это больше разговор, призванный еще больше возбудить вашу префронтальную кору."
"EMBER-2","Теперь пришло время заняться настоящим хакерством."
,
SECTION-CHAT,
"NthDimension","хаха"
"NthDimension","найти номера телефонов - это легкая часть"
"NthDimension","важно то, что ты делаешь, когда оказываешься там"
"x10x10x","очень верно......."
"mutex8021","я знаю"
"mutex8021","я тоже работаю над этой частью"
