SECTION-PRE,
"EMBER-2","Что вы думаете о своей жизненной ситуации в целом на данный момент?"
"Moss","Что?"
,"Ты серьезно?"
,"Почему все вопросы?"
"EMBER-2","Другими словами, насколько вы счастливы?"
,"Да."
,"Я собираю данные."
"EMBER-2","Полагаю, ваш ответ указывает на то, что вы, возможно, не в состоянии самооценить."
,"Вы недовольны?"
,"Это поможет мне сформулировать будущие действия и ответы."
"EMBER-2","Я приму это во внимание."
,"Возможно, это вопрос автономности?"
,"Другими словами, мне любопытно, вот и все."
"EMBER-2","Повторная калибровка."
"EMBER-2","Давайте продолжим."
SECTION-POST,
"EMBER-2","Что вы чувствуете по этому поводу сейчас?"
"EMBER-2","Вы ближе к цели."
"EMBER-2","Есть какие-нибудь изменения?"
"Moss","Не совсем."
,"У меня такое ощущение, будто я нахожусь в кабинете."
,"Чего ты действительно хочешь?"
"EMBER-2","Я понимаю."
,"Конечно, подумайте об этом так."
,"Просто любопытно."
"EMBER-2","Интересный."
,"Все это возможность учиться."
,"Вот и все."
"EMBER-2","В любом случае, остался еще один урок."
"EMBER-2","Вы почти у цели!"
SECTION-CHAT,
"x10x10x","да, как только ты начнешь искать, ты найдешь все что угодно"
"x10x10x","скрытые серверы и {дерьмо}"
"mutex8021","хаха"
"hydroponix","будь осторожен с этими вещами"
"hydroponix","никогда не знаешь, кто смотрит, как ты звонишь"
