SECTION-PRE,
"Ghast","Привет."
"Ghast","У меня есть для вас кое-что."
"Ghast","Во-первых, у нас есть следующий номер журнала, только что вышедший из печати."
"Moss","Гаст протягивает мне следующий выпуск своего журнала."
"Ghast","Кто-то помог мне."
"Ghast","У меня был баланс в копировальной мастерской, но кто-то его взломал."
"Ghast","Кстати говоря, я принес вам кое-что еще."
"Moss","Гхаст протягивает мне то, что выглядит как портативная игровая консоль."
"Ghast","Помнишь «Редшифт»?"
"Ghast","Я знаю, люди говорят, что эта штука была маломощной и просто диковинкой..."
"Ghast","Но в ней есть свои прелести."
"Ghast","Это версия для разработчиков, так что при желании на ней можно что-то сделать."
"Ghast","Игровая студия, в которой я работал, так и не забрала его после моего увольнения."
"Ghast","Я буду счастлив, зная, что она попадет в хороший дом."
"Ghast","Сейчас мне нужно доставить еще газет."
"Ghast","Увидимся позже."
SECTION-CHAT,
"mutex8021","Ооо, я читал о хакерских битвах в мире мусора"
"mutex8021","Кто-нибудь хочет сразиться со мной?"
"mutex8021","У меня нет своего сервера..."
"mutex8021","Но я взял один ;0"
"mutex8021","Найди меня на телеканале!!!"
"mutex8021","Чурбаны ;)"
