SECTION-PRE,
"EMBER-2","Ладно. У меня к вам реальный вопрос."
"EMBER-2","Допустим, по рельсам едет троллейбус, направляющийся к пяти людям."
"EMBER-2","Трое из этих пяти человек - вегетарианцы."
"Moss","Продолжайте."
,"Только не это..."
"EMBER-2","Есть выключатель, который вы можете бросить, чтобы закрыть мясокомбинат, расположенный ниже по дороге."
"EMBER-2","К сожалению, рубильник также не позволит поезду остановиться, потому что..."
"EMBER-2","Потому что..."
"EMBER-2","Подождите."
"EMBER-2","Возможно, я что-то перепутал."
"EMBER-2","Перекалибрую."
"EMBER-2","Здесь слишком много переменных."
"EMBER-2","Ладно."
"EMBER-2","Давайте вернемся к этому позже."
"EMBER-2","Сначала мне нужно больше данных."
"EMBER-2","И мне нужно больше вычислительной мощности."
SECTION-CHAT,
"hydroponix","Вы когда-нибудь задумывались о том, как продвинулось общество"
"x10x10x","нет"
"x10x10x","правда?"
"hydroponix","как далеко мы продвинулись всего за последние сто лет"
"hydroponix","и все будет только быстрее"
"hydroponix","технологии ускоряются"
"x10x10x","но жизнь все еще отстой"
"hydroponix","только если вы верите, что это так"
"x10x10x","люди все еще отстой"
"deadlock","хаха"
