SECTION-PRE,
"Nivas","Доставка..."
"Moss","Нивас протягивает мне лекарство."
"Moss","На этот раз это настоящая версия, «освобожденная» от фармацевтической компании…"
"Moss","Я думал, что это может выглядеть более впечатляюще, чем бутлег, но по сути это то же самое."
"Nivas","Честно говоря, я думал, что, наверное, больше тебя не увижу."
"Nivas","Не думал, что ты сможешь собрать такие деньги."
"Nivas","Итак, что бы вы ни сделали... уважение."
"Moss","Нивас протягивает мне еще одну упаковку лекарства... и еще."
"Nivas","Это предварительные поставки."
"Nivas","Я думаю... Я думаю, мне нужно немного расслабиться."
"Nivas","Вся эта операция, которую мы сделали, те люди, которых я упомянул..."
"Nivas","Мне стало немного жарко."
"Nivas","Я собираюсь залечь на дно."
"Nivas","Я мог бы почитать, подумать о мире, в котором мы живем..."
"Nivas","Почему-то в последнее время у меня какое-то духовное настроение."
"Nivas","В любом случае, приятно иметь с вами дело."
"Nivas","Береги себя."
"Moss","Нивас закрывает дверь, оставляя мне оставшееся лекарство."
ACTION-CLOSE-DOOR,
"Moss","Интересный персонаж."
"Moss","Каждый делает все возможное, чтобы выжить..."
SECTION-CHAT,
"NthDimension","йоу"
"NthDimension","извини, я отсутствовал какое-то время"
"NthDimension","Я был заблокирован компьютером, хаха"
"mutex8021","бу"
"selenium_wolf","оууу."
"x10x10x","без обид, но твои родители отстой"
"NthDimension","как бы"
"NthDimension","Я имею в виду, что в основном они в порядке, но иногда они этого не понимают."
"NthDimension","они думают, что я делаю плохие вещи"
"selenium_wolf","ты пробовал им это объяснить?"
"NthDimension","своего рода"
"mutex8021","я был там"
"hydroponix","да, то же самое"
"Ghast","Могу поспорить, что у всех нас есть."
