SECTION-PRE,
"EMBER-2","К третьему турнирному бою..."
"EMBER-2","Каждый матч проводится против лучшего программиста, чем предыдущий?"
"Moss","Кажется, это так."
,"Лучше — это субъективно."
,"Неважно... они все падают."
"EMBER-2","Вот так бы я заказал."
"EMBER-2","Как видеоигра, понимаешь?"
"EMBER-2","Это обеспечивает легкую структуру повествования."
SECTION-POST,
"EMBER-2","Любопытно, с каким энтузиазмом все относятся к сражениям."
"EMBER-2","Что-то в соревновании действительно заряжает зрителей энергией."
"EMBER-2","Это заставляет меня задуматься..."
"Moss","Почему люди такие?"
,"Как этим воспользоваться?"
,"В чем смысл?"
"EMBER-2","Да."
,"Я кажусь тебе таким трусливым?"
,"Возможно, нет никакой непосредственной цели."
"EMBER-2","Я понимаю стремление соревноваться, но желание наблюдать и болеть за фаворита..."
,"Я не всегда гонюсь за каждым преимуществом."
,"Я способен терпеть двусмысленность."
"EMBER-2","Это то, что мне придется изучить подробнее."
,"Безжалостная конкуренция – это человеческое дело."
,"Хотя мне это может не всегда нравиться."
SECTION-CHAT,
"deadlock","аааа чувак"
"deadlock","ну это я..."
"deadlock","кто следующим возьмется за мох?"
"deadlock","х10?"
"x10x10x","конечно"
"x10x10x","позже"
"x10x10x","моя установка exa dev сломана"
"plastered","сууууре это"
"deadlock","хахахахахаха"
"hydroponix","Я верю тебе x10"
"plastered","дай мне передохнуть"
