SECTION-PRE,
"Nivas","Есть плохие новости."
"Nivas","В аптеке произошел обыск."
"Nivas","Полицейские вытащили оборудование, овец и свиней, все это."
"Nivas","Это настоящий позор."
"Nivas","Было проделано много работы по генетической модификации этих животных."
"Nivas","Их, вероятно, тоже отберут."
"Nivas","Грустно..."
"Moss","Так вот оно что?"
"Moss","Если лекарств больше не будет, я не смогу замедлить распространение фага..."
"Moss","Я скоро закончу."
"Nivas","Хотя, возможно, это еще не конец истории."
"Nivas","Люди, с которыми я работаю, сейчас надеются заполучить настоящую сделку."
"Nivas","Скоро будет поставка, и, скажем так, многие люди с лучшими ресурсами, чем вы или я, хотят этих лекарств."
"Nivas","Будет фейерверк."
"Moss","Нивас на мгновение останавливается, изучая мое лицо."
"Nivas","Так. Вот предложение."
"Nivas","Если вы поможете нам захватить этот груз, мы позволим вам купить его часть. Рыночная цена."
"Nivas","Я знаю, что она намного выше, чем раньше, но это ваш единственный выбор, если вы все еще этого хотите."
"Nivas","Ваша роль тоже должна быть легкой."
"Nivas","Это если я правильно понимаю, что вы делаете."
"Nivas","Просто отключите немного электроэнергии. Снип-снип. Мы позаботимся об остальном."
"Nivas","Я пришлю вам подробности. Тогда ты сможешь решить."
"Nivas","Сия."
SECTION-CHAT,
"selenium_wolf","кто-нибудь из вас знаком с этим проектом «цифровой библиотеки»?"
"selenium_wolf","оцифрованные книги, которые можно получить в Интернете"
"deadlock","хороший"
"Ghast","у меня есть, это хороший ресурс."
"Ghast","хотя нужно больше книг."
"deadlock","представьте себе, что все книги онлайн и в свободном доступе"
"deadlock","цифровая утопия 8)"
"Ghast","может быть. если они сохранят его доступным…"
"deadlock","это некоммерческая организация"
"Ghast","конечно, я просто говорю..."
"Ghast","Никогда не знаешь, что сделает парень, который думает, что может заработать деньги."
