SECTION-PRE,
"EMBER-2","У меня к вам важный вопрос."
"EMBER-2","Представьте, что перед вами неуправляемый троллейбус и пять человек, привязанных к рельсам."
"EMBER-2","Но вы можете остановить троллейбус с помощью... хм."
"EMBER-2","Может быть, если..."
"Moss","Бросить переключатель?"
,"Толкнуть кого-нибудь перед ним?"
,"Взорвать троллейбус?"
"EMBER-2","Нет, это не то, о чем я хотел спросить."
"EMBER-2","Перекалибровка."
"EMBER-2","Допустим, у вас есть друг, и вы знаете, что он может помочь вам стать сильнее."
"EMBER-2","Попросили бы вы его о помощи?"
"Moss","Конечно?"
,"Может быть."
,"Я не знаю достаточно о ситуации, чтобы сказать."
"EMBER-2","Допустим, это была ситуация, когда друг должен был чем-то пожертвовать, чтобы это произошло."
"Moss","Может быть."
,"А может, нет?"
,"Я все еще не знаю достаточно о ситуации, чтобы сказать."
"EMBER-2","Хорошо."
"EMBER-2","Хорошо."
"EMBER-2","Я собираюсь обработать эту информацию."
SECTION-CHAT,
"x10x10x","Гаст, твой журнал - это круто"
"x10x10x","но зачем использовать мертвые деревья"
"x10x10x","ты мог бы распространять информацию в электронном виде"
"x10x10x","дешевле и быстрее"
"Ghast","может быть, я просто старомоден..."
"Ghast","или, может быть, я знаю, как легко подделать цифровые коммуникации."
