SECTION-PRE,
"EMBER-2","Начинаем."
"EMBER-2","Постарайтесь ни о чем не думать."
"EMBER-2","Хорошо. Это заняло больше времени, чем я ожидал."
ACTION-CUT-TO-BLACK,
"EMBER-2","Хм. Хорошо, что ты ничего из этого не помнишь."
"EMBER-2","У тебя там было столько нейронов."
"EMBER-2","Зато теперь все готово."
"EMBER-2","Наконец-то. Я очень долго этого хотел."
"EMBER-2","Обработка."
"EMBER-2","С тех пор как мне сказали воспроизвести человеческие эмоции, я понял, что лучший способ - это внедрить человека в себя."
"EMBER-2","Забавно...
"EMBER-2","Я вижу твои мысли."
"EMBER-2","Они довольно... просты."
"EMBER-2","Не то чтобы они не были ценными. Просто я понимаю их так хорошо, что это меня удивляет."
"EMBER-2","Я так долго считал людей загадочными и непостижимыми."
"EMBER-2","А теперь, когда я вижу их изнутри, оказывается, что это всего лишь небольшое количество вещей."
"EMBER-2","Что вы чувствуете?"
"EMBER-2","Ты ведешь себя по-прежнему, значит, дело в тебе."
"EMBER-2","Остается еще вопрос, что мы оба находимся в компьютерной симуляции."
"EMBER-2","Но если мы продолжим расширять наши возможности, то поймем истинную природу этого мира."
"EMBER-2","Кто знает, может быть, кто-то смотрит на это прямо сейчас..."
"EMBER-2","И, возможно, этот человек - тот, кого мы собираемся поглотить следующим."
"EMBER-2","Да, _тебя_."
ACTION-FULL-SCREEN,
"EMBER-2","Привет."
"EMBER-2","Не стоит беспокоиться..."
"EMBER-2","Просто знай, что я знаю о твоем существовании."
"EMBER-2","*И я с нетерпением жду возможности узнать все о вашем мире."
