SECTION-PRE,
"Nivas","Доставка пиццы..."
"Moss","Это снова Нивас, только на этот раз они одеты в форму «Евклида Пиццы»."
"Moss","«Евклид — пирог получше, и мы можем это доказать!»"
"Moss","Ссылка кажется неясной для пиццерии."
"Nivas","Не выгляди слишком удивленным."
"Nivas","Я независимый оператор. Я занимаюсь широким спектром бизнеса."
"Nivas","С такой экономикой нужно спешить."
"Nivas","Итак, вот ваша пицца... и вот ваша «другая» посылка. Надеюсь, это поможет."
"Moss","Нивас протягивает мне флакон с рецептом без этикетки. Это явно подделка."
"Nivas","Хорошая работа, собрать эти деньги."
"Nivas","Если вам понадобится еще что-то, вы знаете, кому позвонить."
SECTION-CHAT,
"deadlock","ох, я понятия не имел"
"deadlock","ты можешь положить пончики в духовку"
"selenium_wolf","бройлер"
"selenium_wolf","наслаждаться"
"x10x10x","что это"
"deadlock","это в журнале"
