SECTION-PRE,
"EMBER-2","Вы бы на это посмотрели!"
"EMBER-2","В этом журнале есть руководство по хакерству."
"EMBER-2","Как насчет этого?"
"EMBER-2","Забавное совпадение, да?"
"EMBER-2","Не так ли?"
"Moss","Хорошая работа."
,"Наверное."
,"Кто ты?"
"EMBER-2","Спасибо."
,"О, давай."
,"Это загадка!"
"EMBER-2","Это всего лишь вкус моей силы..."
,"Я правильно рассчитал время, не так ли?"
,"Разве это не захватывающе?"
"EMBER-2","Давайте продолжим."
SECTION-POST,
"EMBER-2","Знаешь, я все вижу."
"EMBER-2","Все на вашем компьютере."
"Moss","Ой."
,"Смотреть особо нечего."
,"Кто ты?"
"EMBER-2","Не то чтобы там есть на что посмотреть."
,"Нет."
,"Мне позволено иметь пару секретов. Кроме того, где твои?"
"EMBER-2","Я ожидал, что ты будешь сидеть на всяких секретах..."
"EMBER-2","Хотя это нормально."
"EMBER-2","Мы найдем еще много чего."
SECTION-CHAT,
"mutex8021","что такое вардиллер?"
"plastered","он находит незарегистрированные серверы и сети"
"plastered","путем автоматического набора всех номеров в заданном регионе"
"mutex8021","ох это круто"
"mutex8021","я хочу один....."
