SECTION-PRE,
"EMBER-2","Как вы думаете, сколько квитанций нормальный человек может ввести в минуту?"
"EMBER-2","Предполагая средние условия."
"Moss","Не имею представления."
,"Э, один?"
,"Зависит от того, насколько они длинные."
"EMBER-2","Наверное, я иду слишком быстро."
,"Упс."
,"Возможно, я был слишком быстр."
"EMBER-2","Мои оценки основывались на неверных предположениях."
"EMBER-2","Снова."
"EMBER-2","Думаю, нам нужно это прояснить."
SECTION-POST,
"EMBER-2","Когда я думаю, что умею притворяться человеком, я обнаруживаю, что нужно добавить еще один параметр."
"Moss","Вы таким образом зарабатывали деньги?"
,"Как долго ты притворялся человеком?"
,"Я думал, что ИИ будет намного быстрее..."
"EMBER-2","Это один из способов."
,"О, почти с самого начала."
,"Недостаточно быстро для тебя, да?"
"EMBER-2","Будучи очень сложной программой искусственного интеллекта, я, конечно, имею много разных компонентов..."
,"Это что-то вроде того, что я делаю."
,"Знаете, я не волшебно хорош во всем."
"EMBER-2","На самом деле это единственное, что сейчас работает."
,"Помнишь, когда я тебя удивил? Это было хорошо."
,"Мы всегда могли бы вернуться к тому, чтобы ты сделал это..."
"EMBER-2","Давайте продолжим."
SECTION-CHAT,
"x10x10x","эй =p как там вардейлер"
"x10x10x","это работает сейчас?"
"plastered","это работает, да"
"plastered","но это как-то... медленно"
"selenium_wolf","чтобы набрать номер, нужно время"
"plastered","да, так"
"plastered","я думаю, мне нужно паралелизоваться"
"plastered","распараллеливать"
"Ghast","распараллелить."
"plastered","да, это"
