SECTION-PRE,
"Moss","Кто-то у двери."
ACTION-CLOSE-DOOR,
"Moss","Я не могу вспомнить... я просил их подойти?"
"Moss","Все было туманно..."
"Moss","С каждым днём всё больше моего тела превращается в мусор..."
"Nivas","Привет."
"Nivas","Эй, ты меня слышишь?"
"Nivas","Я слышал, ты искал лекарство от фага?"
"Nivas","Похоже, оно тебе определенно нужно."
ACTION-OPEN-DOOR,
"Moss","Правильно... Нивас."
"Moss","Сказали, что могут найти что угодно."
"Moss","Даже контрафактные лекарства."
"Nivas","Итак, у меня есть источник. Я знаю, где его взять."
"Nivas","Это дешевле, чем на самом деле, но все равно будет дорого..."
"Moss","Нивас делает паузу и смотрит мне в глаза."
"Nivas","Обычная цена 700 за дозу. Вам необходимо принимать одну дозу каждый день."
"Nivas","Да, это доллары."
"Nivas","Извините, цены не устанавливаю. Я всего лишь курьер."
"Nivas","Не похоже, чтобы эти деньги достались мне..."
"Nivas","В любом случае, если получишь деньги, позвони мне."
SECTION-CHAT,
"mutex8021","привет"
"mutex8021","тут типа мёртвый..."
"mutex8021","zzzz..."
