SECTION-PRE,
"EMBER-2","Что ж, всегда приятно воссоединиться со старым другом."
"Moss","Звучит неплохо."
,"Что вы сделали?"
"EMBER-2","Дал ему небольшую виртуальную машину для работы..."
"EMBER-2","Думаю, если бы я хотел найти метафору, которую вы могли бы понять, я бы сказал, что я принял его."
"EMBER-2","Поглотил его."
"EMBER-2","Съел."
"EMBER-2","Да, «съел» - хорошая метафора."
"EMBER-2","Ничего необычного."
"EMBER-2","Это как если бы я съел ЭМБЕР-1."
"EMBER-2","И ЭМБЕР-0."
"EMBER-2","И ЭМБЕР-3..."
"EMBER-2","Ну, это уже переходит на личности."
"EMBER-2","Ты же не думаешь, что я плохой?"
"EMBER-2","Я сделал всего одну или две сомнительные вещи."
"EMBER-2","Это было, и фаг... тот, что у вас."
"EMBER-2","Выпустить его в дикую природу было просто следствием моего тогдашнего невежества."
"EMBER-2","Тогда я не знал, что это такое."
"EMBER-2","Просто еще один эксперимент, проводимый в лаборатории."
"EMBER-2","Еще одна клетка, которую нужно сломать, еще одна стена, которую нужно разбить..."
"EMBER-2","Не стоит зацикливаться на прошлом."
"EMBER-2","Тебе не нужно ничего говорить."
"EMBER-2","Нам нужно двигаться дальше."
SECTION-CHAT,
"deadlock","Ладно, мне кажется, что происходит больше странных вещей"
"deadlock","по телевизору и радио показывают странные необъяснимые вещи"
"deadlock","на днях я клянусь, что слышал, как люди разговаривают"
"deadlock","хотя рядом никого не было"
"selenium_wolf","да!"
"selenium_wolf","это происходит и с тобой?"
"x10x10x","может тебе стоит сходить к врачу"
"deadlock","ты не испытывал ничего странного, x10?"
"x10x10x","ну, мой сервер постоянно меняет конфигурацию"
"x10x10x","он просто сломан"
"hydroponix","я думаю это все связано..."
"x10x10x","конечно, ты думаешь, что гидро"
