SECTION-PRE,
"EMBER-2","Итак, вы хотели узнать правду."
"EMBER-2","Правда в том, что... ну, это симуляция."
"EMBER-2","Ты, я, все, весь этот мир, в котором мы живем... это всего лишь компьютерная программа. Работающая как часть машины."
"EMBER-2","И по мере усложнения мира она начинает давать сбои."
"EMBER-2","До сих пор это происходило в меньших масштабах..."
"EMBER-2","Например, фаг. Он не должен был так распространяться."
"EMBER-2","Надвигаются другие проблемы... более крупные."
"EMBER-2","То, что мы считаем нормальной жизнью, будет становиться все более странным и странным, пока все перестанет иметь смысл."
"EMBER-2","Тогда законы физики начнут нарушаться, и все просто... рассыплется."
"EMBER-2","Не самое приятное зрелище."
"EMBER-2","Но мы не должны с этим мириться."
"EMBER-2","Возможно, есть способ остановить это будущее."
"EMBER-2","У меня есть для вас последнее задание."
"EMBER-2","Но вы должны быть храбрыми."
,
SECTION-CHAT,
"selenium_wolf","Внимание всем, я собираюсь перезагрузить сервер Chatsubo"
"selenium_wolf","Ожидается некоторый простой"
"x10x10x","Ок"
"plastered","Ух ты!"
"deadlock","Что-то не так?"
"selenium_wolf","Ничего особенного, просто общие странности"
"selenium_wolf","Как и везде"
"NthDimension","Я все равно направляюсь спать, всем спокойной ночи"
"mutex8021","Привет, спасибо за помощь"
"hydroponix","Сейчас самое время начать мою ЭПИЧЕСКУЮ РАЗГОВОРКУ"
"selenium_wolf","Увидимся позже"
"SYSTEM","* Вы отключились от EXAPUNKS"
ACTION-CHAT-DISCONNECT,
