SECTION-PRE,
"Moss","Опять кто-то у двери."
ACTION-CLOSE-DOOR,
"Moss","Старый друг..."
ACTION-OPEN-DOOR,
"Moss","Гаст."
"Moss","Когда-то я знал его настоящее имя, но теперь оно исчезло."
"Ghast","Привет. Пришёл, чтобы дать тебе кое-что."
"Moss","Гаст протягивает мне небольшой буклет. Он сделан из настоящей бумаги."
"Moss","Судя по всему, это что-то под названием TRASH WORLD NEWS..."
"Ghast","Я не могу хакать, как раньше."
"Ghast","Какое бы преимущество у меня ни было, теперь оно исчезло."
"Ghast","Но мне нужно было продолжать что-то делать."
"Ghast","Что-то, что сохранит культуру, понимаешь?"
"Ghast","Сегодня компьютеры управляют всем."
"Ghast","Вскоре люди даже не будут иметь права голоса."
"Ghast","Поэтому теперь я даю людям знания."
"Ghast","Знание, позволяющее заставить компьютер делать то, что вы хотите, на ваших условиях."
"Ghast","В любом случае, я не задержу тебя. Я знаю, что тебе нравится быть одному."
"Ghast","Надеюсь, вам понравится то, что вы увидите в журнале."
SECTION-CHAT,
"deadlock","как дела"
"mutex8021","ничего, просто скучно"
"plastered","я не спал всю ночь"
"plastered","вардиллер почти работает!"
