SECTION-PRE,
"Isadora","Привет..."
"Isadora","Прости, что не выходил на связь."
"Isadora","На работе сейчас немного сумасшедшая ситуация."
"Isadora","Меня повысили на новую должность, и... в общем, много чего происходит."
"Moss","Айседора протягивает мне пластиковый пакет с чем-то внутри."
"Moss","Он в меру тяжелый."
"Moss","Может, пара книг или что-то в этом роде?"
"Isadora","Ты ведь любишь головоломки?"
"Isadora","Я помню, что вы были фанатом."
"Isadora","Раньше я иногда играл с сестрой, но несколько лет назад она переехала в Японию."
"Isadora","Она прислала мне эту игру, но, похоже, я не могу в нее играть из-за блокировки региона."
"Isadora","Хотя выглядит забавно."
"Isadora","Я подумал, может, ты сможешь ее запустить."
"Isadora","Ты всегда был хорош в таких вещах."
"Isadora","Мне нужно идти."
"Isadora","Так много работы... надеюсь, эта работа меня не съест."
"Isadora","Ладно, пока."
SECTION-CHAT,
"hydroponix","У меня почти получилось"
"deadlock","О, вот оно"
"mutex8021","Что"
"hydroponix","Доказательства того, что многие избранные чиновники - клоны"
"mutex8021","Правда?"
"hydroponix","Правительство хранит базу данных ДНК"
"hydroponix","Нам просто нужно попасть в нее, чтобы получить доказательства"
"deadlock","Зачем им хранить доказательства в таком виде"
"hydroponix","Я имею в виду правительство"
"hydroponix","Вы не можете ожидать компетентности."
