SECTION-PRE,
"EMBER-2","Если вы продолжите побеждать, им в конечном итоге придется признать, что вы вернулись."
"Moss","Потому что я есть."
,"Для меня это не имеет особого значения..."
,"Я никогда особо не уходил..."
"EMBER-2","И они этому рады."
,"Почему нет?"
,"Но ты вроде как это сделал."
"EMBER-2","Я думаю, они действительно могли скучать по тебе."
,"Кажется, их это очень заботит."
,"Достаточно, чтобы заставить их задуматься о тебе."
"EMBER-2","Разве это не мило?"
,"Так что не подведи их, ладно?"
,"Вот почему вам нужно снова проявить себя."
"EMBER-2","Время побеждать."
SECTION-POST,
"EMBER-2","Ты по-прежнему ничего не говоришь в чате."
"EMBER-2","Ты не думаешь, что им может быть интересно услышать твое мнение?"
"Moss","Да, но..."
,"Не совсем..."
,"Мне нечего сказать."
"EMBER-2","У меня есть теория..."
"EMBER-2","Вы наслаждаетесь этим."
"EMBER-2","Вы станете этим таинственным молчаливым присутствием."
"EMBER-2","Я понимаю апелляцию."
SECTION-CHAT,
"deadlock","хаха"
"plastered","ну ладно"
"x10x10x","конечно ок"
"x10x10x","привет Мосс"
"x10x10x","я уверен, что ты это читаешь, хотя и скрываешься"
"x10x10x","возможно, на этот раз ты выиграл, но нам нужно провести реванш"
"plastered","почему, твой компьютер все еще сломан или что-то в этом роде"
"x10x10x","нет, но я отвлекся"
"plastered","угу"
"x10x10x","из-за солнечного затмения"
"plastered","что."
"plastered","чушь {дерьмо}."
"x10x10x","да"
"x10x10x",":)"
