SECTION-PRE,
Isadora,Алло?
ACTION-CLOSE-DOOR,
Isadora,Ты здесь?
Moss,Этот голос...
Moss,Это Айседора.
Moss,"Я помню имя, но мало что еще..."
Moss,"Разве это не тот, кого я давно знаю?"
Isadora,Привет. Я принесла тебе закуски.
ACTION-OPEN-DOOR,
Isadora,"Это, эм, ну, это «Арахисовый взрыв», но без арахиса."
Isadora,"Видимо, на фабрике произошла какая-то ошибка, и теперь у нас есть куча этих продуктов, которые мы не можем продать."
Isadora,"Мне кажется, что это пустая трата времени."
Moss,"Айседора протягивает мне несколько батончиков «Арахисовый взрыв», не содержащих арахиса."
Isadora,"Надеюсь, у тебя все хорошо."
Isadora,Нам стоит как-нибудь еще раз встретиться.
Isadora,"Хотя у меня теперь не так много свободного времени."
Isadora,Работа в «Last Stop» полностью поглотила мою жизнь.
Isadora,"Кстати говоря, мне пора возвращаться."
Isadora,"Береги себя, ладно?"
SECTION-CHAT,
Ghast,Странно.
Ghast,Я только что был в типографии. Мой баланс там исчез.
selenium_wolf,Круто!
Ghast,"Не думаю, что кто-то из вас имеет к этому отношение."
SYSTEM,Гаст оглядывает комнату.
x10x10x,это не я
deadlock,"если бы это был я, я бы сказал, что это был я?"
selenium_wolf,хаха
Ghast,"ну, кто бы это ни был. спасибо."
