SECTION-PRE,
"EMBER-2","Собираетесь ли вы присоединиться к хакерской битве?"
"EMBER-2","Но ты никогда ничего не говоришь в чате..."
"Moss","Я просто скрываюсь в эти дни."
,"EXA говорят громче, чем слова."
"EMBER-2","Я думаю, единственное, что действительно имеет значение, это ваши способности."
"Moss","Так и должно быть."
,"В теории..."
"EMBER-2","Это хороший идеал."
,
SECTION-POST,
"EMBER-2","У вас хорошее начало."
"EMBER-2","Я знал, что ты хорош в том, что делаешь."
"EMBER-2","Даже после того, как вы забыли, вы сразу же подняли его."
"EMBER-2","Вот почему я связался с вами."
"Moss","Вы нашли нужного человека."
,"Но чего ты действительно хочешь?"
"EMBER-2","Это определенно не значит, что я только что начал разговаривать с первым человеком, которого я нашел, который, казалось, мог программировать."
,"Все, что я хотел, это чтобы вы немного взломали для меня."
"EMBER-2","Это было бы глупо."
,"Вот и все. Действительно."
,
SECTION-CHAT,
"mutex8021","кто такой мох"
"deadlock","мох!!!"
"mutex8021","Мосс пришел на телеканал и избил меня"
"x10x10x","вау"
"x10x10x","никто не слышал о Моссе много лет"
"deadlock","что если мох вернулся"
"deadlock","аааа"
"plastered","я думал Мосс умер"
"Ghast","Я могу подтвердить, что Мосс жив."
"plastered","Действительно?"
"plastered","откуда ты знаешь"
"Ghast","скажем так, я вполне уверен в себе."
"x10x10x","круто, я тоже собираюсь хакер баттл мосс"
